Instance,SA_vs_Constructive_%,LS_vs_Constructive_%,Linear_vs_Greedy_%,Constructive_Worse_Obj,SA_Final_Obj,LS_Final_Obj,Greedy_Obj,Linear_Obj
Inst13.xlsx,11.11400929644757,8.935303231811332,0.17475513818270477,115667.0613403334,128522.30929062577,126002.2640104174,131970.9739421271,132201.60000000073
Inst14.xlsx,10.823575819725562,8.650564529142708,0.04414199700904146,10113968.669878077,11208661.73724562,10988884.056123156,11435124.1511726,11440171.843333391
Inst15.xlsx,10.865412551406232,8.69158093275121,0.03736182139730318,121629.13721345214,134844.64475440967,132200.63211216635,138596.99097310624,138648.77333333564
Inst16.xlsx,11.245388519635055,9.064106391799095,-0.38657878019572567,10704896.651621591,11908703.870721843,11675199.873256711,12087014.007980904,12040288.176666765
Inst17.xlsx,10.85684079871466,8.683177253641832,0.2219105744130489,130249.94855802089,144390.97811337296,141559.78246409114,147773.08257030754,148101.00666666718
Inst18.xlsx,10.502297702566366,8.335585982908196,0.0030371983325052426,11527389.584234372,12738030.355705293,12488265.054613031,12965322.260781832,12965716.04333334
Inst19.xlsx,9.33944013783003,7.195529546892182,0.06072977765985558,65030.73371375493,71104.24016014273,69710.03937268895,72781.86806668059,72826.06833333417
Inst20.xlsx,10.777417980537756,8.60531174562524,0.19889808264233722,4603724.885773146,5099887.559386952,4999889.764104854,5203665.808479851,5214015.800000032
Inst21.xlsx,10.305017103548662,8.142173630930062,0.14836933250646853,126174.54558785605,139176.85409100942,136447.8961676563,142876.4618139658,143088.44666666805
Inst22.xlsx,10.30260474426905,8.139808572812791,-0.4157216022858122,11149089.759115111,12297736.40958052,12056604.323118156,12499037.622809237,12447076.423333388
Inst23.xlsx,9.967614584266055,7.811386847319652,-0.046298842654483544,74823.1449163592,82281.22762144875,80667.87021710661,84093.87115575618,84054.93666666771
Inst24.xlsx,9.496470854148459,7.349481229557317,-0.8275346166062595,6359264.355048646,6963170.041064093,6826637.295160876,7059058.566578319,7000642.413333374
Inst25.xlsx,11.414333300660745,9.22973853005955,0.15189622926118562,91276.40135656227,101694.99403224912,99700.9745414207,104023.21599068756,104181.22333333363
Inst26.xlsx,10.816306468807895,8.64343771451754,-0.012584059043803539,8162289.429303728,9045147.66884833,8867791.832204245,9205290.582535503,9204132.183333443
Inst27.xlsx,11.795926548476341,9.60384955732977,0.08818767195011905,83401.77640592483,93239.7886908922,91411.5575400904,95292.7968342698,95376.8333333341
Inst28.xlsx,11.811057090525107,9.618683422083441,-0.14411197583074345,7125168.504549796,7966726.224418286,7810515.906292438,8071287.154727044,8059655.463333393
Inst29.xlsx,11.537114250623581,9.350112010415277,0.14411491366531304,127003.06871348216,141655.55785275457,138877.99789485743,144671.4435407115,144879.93666666857
Inst30.xlsx,10.653169241060677,8.483499255941835,-0.6288871786262756,11032912.90192884,12208267.785590138,11968889.985872684,12434904.38602489,12356702.866666744
Inst31.xlsx,10.439832950173887,8.274346029582249,0.008000283685999487,148483.1416717613,163984.5336214632,160769.15060927765,168967.72543596482,168981.24333333748
Inst32.xlsx,10.392643188074514,8.228081556935814,-0.8935179639350215,13074193.587141246,14432947.876370955,14149948.8984029,14682518.116932916,14551327.180000106
Inst33.xlsx,10.418497480471125,8.253428902422662,0.13002970764678282,100549.94031281072,111025.73331091613,108848.75814795698,114034.56285796822,114182.84166666873
Inst34.xlsx,10.09627387247088,7.937523404383207,-0.2945538225564817,8605479.494671026,9474312.272492336,9288541.443619937,9672701.941647058,9644210.628333442
Inst35.xlsx,10.426504856975537,8.261279271544643,0.0831029559701479,149075.88724080988,164619.2918645523,161391.46261230618,168729.97040698622,168870.19000000198
Inst36.xlsx,10.244545310588768,8.082887559400756,-0.44924597632515684,13061413.66018644,14399496.10080767,14117153.04000752,14613014.285363533,14547365.906666717
Inst37.xlsx,11.010340500397701,8.83366715725265,0.08353406746850439,148391.48959208207,164729.89786978252,161499.8998723358,169056.88324242976,169198.10333333764
Inst38.xlsx,10.961770177378922,8.78604919350875,-0.4906988657391659,12903762.165178671,14318242.917961132,14037493.05682464,14571429.020257812,14499927.18333342
Inst39.xlsx,11.245762952288104,9.064473482635407,0.015385120831024906,387256.71962177247,430806.692327244,422359.5022816118,445803.3992750146,445871.98666666186
Inst40.xlsx,11.203633127663148,9.023169733003083,-0.9455077049567537,35579131.28596179,39565286.62525057,38789496.69142213,40774032.19098716,40388510.57499983
